NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Cooper Flagg,nan,SF / 6-9 / 195,nan,nan,99.70+,nan,nan,Duke,795 mi.,16,400K,7.4K,5.2K,$920K
Dylan Harper,nan,CG / 6-6 / 205,nan,nan,99.41+,nan,nan,Rutgers,29 mi.,10,89K,3K,1.6K,$598K
Ace Bailey,nan,SF / 6-9 / 210,nan,nan,99.38+,nan,nan,Rutgers,727 mi.,25,35K,2.2K,nan,$543K
Tre Johnson,nan,SG / 6-5 / 180,nan,nan,99.31+,nan,nan,Baylor,88 mi.,20,29K,2.8K,nan,$537K
Flory Bidunga,nan,C / 6-9 / 215,nan,nan,99.23+,nan,nan,Kansas,7105 mi.,17,23K,3.6K,nan,$531K
Jalil Bethea,nan,SG / 6-4 / 180,nan,nan,98.84+,nan,nan,Miami,1043 mi.,25,29K,966,nan,$434K
VJ Edgecombe,nan,SG / 6-4 / 180,nan,nan,98.69,nan,nan,Michigan,7633 mi.,22,5.9K,1.1K,nan,$412K
Karter Knox,nan,SF / 6-6 / 205,nan,nan,98.67+,nan,nan,Kentucky,705 mi.,11,16.4K,208,nan,$422K
Ian Jackson,nan,SG / 6-5 / 180,nan,nan,98.66+,nan,nan,North Carolina,435 mi.,18,100K,3.5K,nan,$502K
Asa Newell,nan,PF / 6-9 / 205,nan,nan,98.65+,nan,nan,Georgia,0 mi.,23,43K,2.3K,nan,$448K
Drake Powell,nan,SF / 6-6 / 185,nan,nan,98.52,nan,nan,North Carolina,18 mi.,14,nan,1.9K,nan,$304K
Jayden Quaintance,nan,C / 6-10 / 225,nan,nan,98.50+,nan,nan,Kentucky,280 mi.,21,5.9K,330,nan,$311K
Liam McNeeley,nan,SF / 6-7 / 205,nan,nan,98.41,nan,nan,Texas,196 mi.,22,8.2K,2.9K,584,$314K
