NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Dereck Lively II,nan,C / 7-1 / 220,nan,nan,99.52+,Westtown School,"Bellefonte, PA",Duke,347 mi.,21,45K,7.3K,6.2K,$120K
Dariq Whitehead,nan,SF / 6-6 / 215,nan,nan,99.37+,Montverde Academy,"Newark, NJ",Duke,416 mi.,13,1,10.6K,1.8K,$86K
Nick Smith Jr.,nan,SG / 6-4 / 170,nan,nan,99.33+,North Little Rock,"Sherwood, AR",Arkansas,122 mi.,25,70K,30K,12.8K,$234K
Dillon Mitchell,nan,SF / 6-7 / 180,nan,-,99.30+,Montverde Academy,"Spring Hill, FL",Texas,919 mi.,11,31K,3.9K,227,nan
Kyle Filipowski,2022 - present,PF / 6-11 / 230,Sophomore,-,99.26+,Wilbraham & Monson Academy,"Wilbraham, MA",Duke,548 mi.,23,36K,12K,nan,$393K
Kel'el Ware,2023 - present,C / 7-0 / 210,Sophomore,-,99.19+,North Little Rock,"North Little Rock, AR",Oregon,1754 mi.,18,27K,6.9K,2.8K,nan
Cason Wallace,nan,CG / 6-4 / 193,nan,nan,99.03+,Richardson,"Richardson, TX",Kentucky,771 mi.,18,31K,10K,nan,$246K
GG Jackson,nan,PF / 6-9 / 215,nan,nan,98.94+,Ridge View,"Columbia, SC",South Carolina,0 mi.,16,43K,11.6K,nan,$152K
Keyonte George,nan,SG / 6-4 / 215,nan,nan,98.93+,IMG Academy,"Dallas, TX",Baylor,88 mi.,9,126K,6.1K,29K,$271K
Cam Whitmore,nan,SF / 6-6 / 200,nan,nan,98.77+,Archbishop Spalding,"Severn, MD",Villanova,95 mi.,13,37K,3K,1.5K,$398K
Jarace Walker,nan,PF / 6-8 / 220,nan,nan,98.64+,IMG Academy,"Bradenton, FL",Houston,799 mi.,25,45K,1.4K,94,$200K
