NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
AJ Dybantsa,nan,SF / 6-8 / 185,nan,nan,99.89+,nan,nan,Boston College,6 mi.,12,80K,2.7K,28K,$237K
Tyran Stokes,nan,SF / 6-7 / 225,nan,nan,99.45+,nan,nan,Louisville,0 mi.,14,90K,1.7K,36K,$245K
Brandon McCoy,nan,PG / 6-4 / -,nan,nan,98.96,nan,nan,USC,9 mi.,10,10.7K,512,4.9K,$182K
Alijah Arenas,nan,SG / 6-4 / 170,nan,nan,98.74,nan,nan,UCLA,30 mi.,13,27K,nan,nan,$190K
Caleb Holt,nan,SG / 6-5 / 185,nan,nan,98.69,nan,nan,Alabama,124 mi.,13,25K,1K,4.6K,$192K
Elijah Williams,nan,SF / 6-6 / 180,nan,nan,98.50,nan,nan,Arizona State,7 mi.,5,2.7K,nan,nan,$138K
Caleb Gaskins,nan,SF / 6-7 / 200,nan,nan,98.47,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jalen Montonati,nan,SF / 6-7 / -,nan,nan,98.35,nan,nan,Tulsa,12 mi.,10,4.1K,1.4K,976,$143K
Alex Constanza,nan,SG / 6-8 / 175,nan,nan,98.05,nan,nan,Florida,278 mi.,14,2.9K,278,nan,$142K
Jason Crowe,nan,CG / 6-2 / 161,nan,nan,97.85,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sam Funches,nan,C / 6-10 / 190,nan,nan,97.65,nan,nan,Auburn,268 mi.,10,2.9K,1.2K,nan,$108K
Tajh Ariza,nan,SF / 6-5 / 170,nan,nan,97.22,nan,nan,USC,11 mi.,4,3.5K,249,nan,$109K
Moustapha Diop,nan,PF / 6-9 / 210,nan,nan,97.12,nan,nan,Georgia Tech,15 mi.,5,1.1K,113,nan,$107K
Chidi Nwigwe,nan,SF / 6-5 / 180,nan,nan,97.10,nan,nan,Penn State,201 mi.,1,3K,446,1.2K,$108K
Cam Holmes,nan,SF / 6-6 / 175,nan,nan,96.95,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jordan Smith Jr.,nan,SG / 6-3 / 175,nan,nan,96.93,nan,nan,Virginia Tech,200 mi.,2,6.9K,220,nan,$78K
Quincy Wadley,nan,SG / 6-4 / -,nan,nan,96.88,nan,nan,Villanova,123 mi.,3,1.7K,231,nan,$74K
Dylan Mingo,nan,PG / 6-4 / 170,nan,nan,96.80,nan,nan,nan,nan,nan,nan,nan,nan,nan
