NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Cameron Boozer,nan,PF / 6-9 / 205,nan,nan,99.68+,nan,nan,Florida,292 mi.,14,81K,393,16.6K,$325K
Darryn Peterson,nan,SG / 6-5 / 175,nan,nan,99.23+,nan,nan,Ohio State,99 mi.,25,16K,1.4K,nan,$270K
Koa Peat,nan,PF / 6-7 / 200,nan,nan,99.22+,nan,nan,Michigan,1637 mi.,25,37K,2.8K,10.8K,$288K
Caleb Wilson,nan,PF / 6-9 / 195,nan,nan,99.15+,nan,nan,Georgia Tech,0 mi.,24,3.6K,1.5K,nan,$260K
Meleek Thomas,nan,SG / 6-3 / 175,nan,nan,98.92+,nan,nan,Michigan,237 mi.,22,16.9K,1.7K,nan,$271K
Bryson Tiller,nan,PF / 6-9 / 220,nan,nan,98.86,nan,nan,Georgia Tech,0 mi.,25,31K,984,28K,$234K
Jalen Haralson,nan,SG / 6-7 / 205,nan,nan,98.76+,nan,nan,Indiana,80 mi.,23,7.1K,2.7K,3.3K,$213K
Isiah Harwell,nan,SG / 6-5 / 190,nan,nan,98.62,nan,nan,BYU,189 mi.,25,12.1K,528,811,$216K
Darius Acuff,nan,PG / 6-0 / 175,nan,nan,98.40,nan,nan,Michigan,41 mi.,18,15.9K,1.1K,63,$219K
Trey McKenney,nan,SG / 6-4 / 205,nan,nan,98.10,nan,nan,Michigan State,42 mi.,25,16K,2.1K,1.9K,$219K
Joson Sanon,nan,SG / 6-5 / 180,nan,nan,97.88,nan,nan,Providence,11 mi.,12,nan,698,8.2K,$157K
Jamier Jones,nan,SF / 6-6 / 180,nan,nan,97.83,nan,nan,USF,48 mi.,11,50K,641,nan,$194K
Jasper Johnson,nan,CG / 6-2 / 165,nan,nan,97.82,nan,nan,West Virginia,264 mi.,25,-,2.3K,nan,$154K
Mikel Brown Jr.,nan,PG / 6-1 / 150,nan,nan,97.50,nan,nan,Florida,95 mi.,17,11.7K,1.1K,nan,$165K
Cayden Boozer,nan,PG / 6-3 / 190,nan,nan,97.45,nan,nan,Florida,292 mi.,14,40K,nan,15.9K,$187K
Tounde Yessoufou,nan,SF / 6-6 / 210,nan,nan,97.22,nan,nan,Washington,884 mi.,11,9.2K,707,1.4K,$113K
Tyler Jackson,nan,CG / 6-1 / 160,nan,nan,97.10,nan,nan,Maryland,26 mi.,19,8.7K,387,nan,$112K
Elzie Harrington,nan,SG / 6-4 / 183,nan,nan,97.01,nan,nan,UCLA,15 mi.,4,5.3K,237,nan,$110K
Aaron Rowe,nan,PG / 6-1 / 165,nan,nan,96.87,nan,nan,Tennessee,498 mi.,12,8.3K,762,nan,$112K
Nate Ament,nan,SF / 6-8 / 170,nan,nan,96.67,nan,nan,Virginia Tech,190 mi.,14,1.2K,399,nan,$107K
Efeosa Oliogu,nan,SG / 6-5 / 200,nan,nan,96.62,nan,nan,Maryland,346 mi.,20,7.4K,535,nan,$61K
Moustapha Thiam,nan,C / 7-1 / 200,nan,nan,96.61,nan,nan,UCF,4168 mi.,3,863,70,nan,nan
Will Riley,nan,SF / 6-8 / 180,nan,nan,96.44,nan,nan,Washington,5993 mi.,15,3.1K,399,nan,nan
Jerry Easter,nan,PG / 6-3 / 180,nan,nan,96.44,nan,nan,Georgia Tech,547 mi.,25,38K,2.1K,18.4K,$83K
Darius Adams,nan,SG / 6-3 / 155,nan,nan,96.36,nan,nan,Notre Dame,645 mi.,20,nan,-,nan,nan
Chris Nwuli,nan,SF / 6-7 / 200,nan,nan,96.34,nan,nan,Ohio State,1756 mi.,7,nan,nan,nan,nan
Brayden Burries,nan,CG / 6-4 / 185,nan,nan,96.34,nan,nan,USC,49 mi.,21,nan,375,nan,nan
Nikola Bundalo,nan,PF / 6-9 / 205,nan,nan,96.24,nan,nan,Ohio State,102 mi.,22,2.8K,-,nan,nan
AJ White,nan,SF / 6-8 / 180,nan,nan,96.23,nan,nan,South Carolina,86 mi.,22,481,939,310,nan
Jovani Ruff,nan,SG / 6-4 / 175,nan,nan,96.14,nan,nan,California,365 mi.,13,nan,nan,nan,nan
Jeremiah Fears,nan,PG / 6-3 / 165,nan,nan,96.03,nan,nan,Illinois,96 mi.,17,-,1.6K,nan,nan
Jacob Wilkins,nan,SF / 6-8 / 165,nan,nan,96.02,nan,nan,Virginia,443 mi.,5,10.6K,835,nan,nan
Maper Maker,nan,C / 6-10 / 180,nan,nan,95.87,nan,nan,Arizona State,349 mi.,2,6.7K,nan,nan,nan
Kiyan Anthony,nan,SG / 6-4 / 185,nan,nan,95.82,nan,nan,Florida State,918 mi.,18,721K,8.6K,221K,$515K
Akai Fleming,nan,SG / 6-4 / 160,nan,nan,95.78,nan,nan,Georgia Tech,15 mi.,11,1.7K,589,nan,nan
Sebastian Williams-Adams,nan,SF / 6-6 / 190,nan,nan,95.78,nan,nan,Texas,147 mi.,11,nan,-,nan,nan
Davion Hannah,nan,SG / 6-5 / 180,nan,nan,95.66,nan,nan,Michigan State,-,11,nan,-,nan,nan
Jaden Toombs,nan,C / 6-9 / 215,nan,nan,95.61,nan,nan,Texas Tech,297 mi.,3,nan,nan,nan,nan
Alier Maluk,nan,PF / 6-10 / 180,nan,nan,95.57,nan,nan,Pittsburgh,0 mi.,14,-,896,nan,nan
Nyk Lewis,nan,PG / 6-2 / 185,nan,nan,95.56,nan,nan,Georgetown,0 mi.,12,8.2K,578,nan,nan
Shon Abaev,nan,SF / 6-7 / 185,nan,nan,95.48,nan,nan,USF,19 mi.,13,-,463,nan,nan
Malachi Moreno,nan,C / 6-11 / 200,nan,nan,95.37,nan,nan,Iowa,434 mi.,16,2.5K,991,nan,nan
BJ Davis-Ray,nan,SG / 6-5 / 175,nan,nan,95.32,nan,nan,Missouri,111 mi.,17,nan,1.1K,nan,nan
Nigel Walls,nan,PF / 6-9 / 200,nan,nan,95.26,nan,nan,TCU,238 mi.,5,nan,nan,nan,nan
Terrion Burgess,nan,PF / 6-8 / 200,nan,nan,95.17,nan,nan,Ole Miss,73 mi.,13,nan,nan,nan,nan
Alex Lloyd,nan,SG / 6-3 / 160,nan,nan,95.04,nan,nan,Florida State,389 mi.,7,nan,nan,nan,nan
Jordan Scott,nan,SG / 6-5 / 165,nan,nan,94.82,nan,nan,George Mason,9 mi.,14,nan,481,nan,nan
